(pytorch_p36) ubuntu@ip-172-30-0-91:~/P1_Facial_Keypoints-master$ python train.py 
Net(
  (conv1): Conv2d(1, 32, kernel_size=(5, 5), stride=(1, 1))
  (conv1_bn): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv1_drop): Dropout2d(p=0.1)
  (conv2): Conv2d(32, 48, kernel_size=(5, 5), stride=(1, 1))
  (conv2_bn): BatchNorm2d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2_drop): Dropout2d(p=0.1)
  (conv3): Conv2d(48, 64, kernel_size=(5, 5), stride=(1, 1))
  (conv3_bn): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3_drop): Dropout2d(p=0.2)
  (conv4): Conv2d(64, 96, kernel_size=(5, 5), stride=(1, 1))
  (conv4_bn): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv4_drop): Dropout2d(p=0.2)
  (fc1): Linear(in_features=9600, out_features=2400, bias=True)
  (fc1_bn): BatchNorm1d(2400, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc1_drop): Dropout(p=0.2)
  (fc2): Linear(in_features=2400, out_features=612, bias=True)
  (fc2_bn): BatchNorm1d(612, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc2_drop): Dropout(p=0.4)
  (fc3): Linear(in_features=612, out_features=136, bias=True)
)

Number of images:  3462
0 torch.Size([1, 224, 224]) torch.Size([68, 2])
Epoch: 25, Batch: 50, Avg. Loss: 0.0010530613511800767
Epoch: 25, Batch: 60, Avg. Loss: 0.0008767362013459205
Epoch: 25, Batch: 70, Avg. Loss: 0.0011496992856264115
Epoch: 25, Batch: 80, Avg. Loss: 0.0011553799957036972
Epoch: 25, Batch: 90, Avg. Loss: 0.000978759340941906
Epoch: 25, Batch: 100, Avg. Loss: 0.0011874052584171296
Epoch: 26, Batch: 10, Avg. Loss: 0.0010023716911673546
Epoch: 26, Batch: 20, Avg. Loss: 0.0011844853460788727
Epoch: 26, Batch: 30, Avg. Loss: 0.001126244306564331
Epoch: 26, Batch: 40, Avg. Loss: 0.001059544898569584
Epoch: 26, Batch: 50, Avg. Loss: 0.0011831424236297607
Epoch: 26, Batch: 60, Avg. Loss: 0.0012753572389483452
Epoch: 26, Batch: 70, Avg. Loss: 0.0009879586920142173
Epoch: 26, Batch: 80, Avg. Loss: 0.0009756273999810219
Epoch: 26, Batch: 90, Avg. Loss: 0.0010717856884002687
Epoch: 26, Batch: 100, Avg. Loss: 0.0012144476994872093
Epoch: 27, Batch: 10, Avg. Loss: 0.001495833121240139
Epoch: 27, Batch: 20, Avg. Loss: 0.0010161072462797165
Epoch: 27, Batch: 30, Avg. Loss: 0.001155223697423935
Epoch: 27, Batch: 40, Avg. Loss: 0.0010609597340226174
Epoch: 27, Batch: 50, Avg. Loss: 0.0011404024437069893
Epoch: 27, Batch: 60, Avg. Loss: 0.0010424028784036636
Epoch: 27, Batch: 70, Avg. Loss: 0.0009680443555116654
Epoch: 27, Batch: 80, Avg. Loss: 0.0010127273499965668
Epoch: 27, Batch: 90, Avg. Loss: 0.0014724384993314743
Epoch: 27, Batch: 100, Avg. Loss: 0.0010602224320173264
Epoch: 28, Batch: 10, Avg. Loss: 0.0010000682622194291
Epoch: 28, Batch: 20, Avg. Loss: 0.0015218500569462777
Epoch: 28, Batch: 30, Avg. Loss: 0.000960984893143177
Epoch: 28, Batch: 40, Avg. Loss: 0.0010366122275590898
Epoch: 28, Batch: 50, Avg. Loss: 0.001084327295422554
Epoch: 28, Batch: 60, Avg. Loss: 0.0011250650510191917
Epoch: 28, Batch: 70, Avg. Loss: 0.0009844663962721824
Epoch: 28, Batch: 80, Avg. Loss: 0.0009129564613103866
